"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 10 23:26:59 MSK 2022","Sun Apr 10 23:27:00 MSK 2022","556","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputRussianSymbolsInCodeField","BT-22. Проверка на ввод букв на русском языке в поле 'CVC/CVV'",""
"passed","Sun Apr 10 23:26:21 MSK 2022","Sun Apr 10 23:26:38 MSK 2022","16496","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputRussianSymbolsInYearField","BT-19. Проверка на ввод букв на русском языке в поле 'Год'",""
"passed","Sun Apr 10 23:27:02 MSK 2022","Sun Apr 10 23:27:13 MSK 2022","11177","","ru.netology.web.PaymentByCardTest","","ru.netology.web.PaymentByCardTest","shouldCheckDataOfUnsuccessfulUnregisteredCardPayment","BT-10. Проверка данных в БД при отказе в проведении операции по незарегистрированной карте",""
"passed","Sun Apr 10 23:26:58 MSK 2022","Sun Apr 10 23:26:59 MSK 2022","572","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputSpecialSymbolsInMonthField","BT-18. Проверка на ввод спецсимволов в поле 'Месяц'",""
"passed","Sun Apr 10 23:26:56 MSK 2022","Sun Apr 10 23:26:56 MSK 2022","419","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputRussianSymbolsInMonthField","BT-16. Проверка на ввод букв на русском языке в поле 'Месяц'",""
"passed","Sun Apr 10 23:27:00 MSK 2022","Sun Apr 10 23:27:02 MSK 2022","1631","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldSendFormWithExpiredCard","BT-29. Отправка формы с истекшим сроком действия карты",""
"failed","Sun Apr 10 23:26:41 MSK 2022","Sun Apr 10 23:26:41 MSK 2022","604","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputSpecialSymbolsInHolderField","BT-27. Проверка на ввод спецсимволов в поле 'Владелец'",""
"passed","Sun Apr 10 23:27:13 MSK 2022","Sun Apr 10 23:27:25 MSK 2022","11908","","ru.netology.web.PaymentByCardTest","","ru.netology.web.PaymentByCardTest","unsuccessfulPaymentByUnregisteredCardTest","BT-9. Отказ в проведении операции по незарегистрированной карте",""
"passed","Sun Apr 10 23:26:56 MSK 2022","Sun Apr 10 23:26:57 MSK 2022","600","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputEnglishSymbolsInCodeField","BT-23. Проверка на ввод букв на английском языке в поле 'CVC/CVV'",""
"failed","Sun Apr 10 23:26:38 MSK 2022","Sun Apr 10 23:26:39 MSK 2022","987","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputDigitsInHolderField","BT-26. Проверка на ввод цифр в поле 'Владелец'",""
"failed","Sun Apr 10 23:28:12 MSK 2022","Sun Apr 10 23:28:34 MSK 2022","22029","","ru.netology.web.PaymentOnCreditTest","","ru.netology.web.PaymentOnCreditTest","unsuccessfulPaymentOnCreditTest","BT-7. Отказ в проведении операции в кредит",""
"passed","Sun Apr 10 23:28:39 MSK 2022","Sun Apr 10 23:28:47 MSK 2022","8034","","ru.netology.web.PaymentOnCreditTest","","ru.netology.web.PaymentOnCreditTest","successfulPaymentOnCreditTest","BT-3. Успешная оплата в кредит",""
"failed","Sun Apr 10 23:27:58 MSK 2022","Sun Apr 10 23:28:01 MSK 2022","3050","","ru.netology.web.PaymentOnCreditTest","","ru.netology.web.PaymentOnCreditTest","shouldCheckDataOfUnsuccessfulPaymentOnCredit","BT-8. Проверка данных в БД при отказе в проведении операции в кредит",""
"failed","Sun Apr 10 23:26:39 MSK 2022","Sun Apr 10 23:26:40 MSK 2022","729","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputRussianSymbolsInHolderField","BT-25. Проверка на ввод букв на русском языке в поле 'Владелец'",""
"passed","Sun Apr 10 23:26:54 MSK 2022","Sun Apr 10 23:26:55 MSK 2022","635","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputSpecialSymbolsInCodeField","BT-24. Проверка на ввод спецсимволов в поле 'CVC/CVV'",""
"passed","Sun Apr 10 23:26:55 MSK 2022","Sun Apr 10 23:26:55 MSK 2022","414","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputRussianSymbolsInCardNumberField","BT-13. Проверка на ввод букв на русском языке в поле 'Номер карты'",""
"passed","Sun Apr 10 23:28:34 MSK 2022","Sun Apr 10 23:28:39 MSK 2022","4753","","ru.netology.web.PaymentOnCreditTest","","ru.netology.web.PaymentOnCreditTest","unsuccessfulPaymentOnCreditByUnregisteredCardTest","BT-11. Отказ в проведении операции в кредит по незарегистрированной карте",""
"failed","Sun Apr 10 23:28:01 MSK 2022","Sun Apr 10 23:28:12 MSK 2022","10522","","ru.netology.web.PaymentOnCreditTest","","ru.netology.web.PaymentOnCreditTest","shouldCheckDataOfSuccessfulPaymentOnCredit","BT-4. Проверка данных в БД при совершении успешного платежа в кредит",""
"failed","Sun Apr 10 23:26:41 MSK 2022","Sun Apr 10 23:26:54 MSK 2022","12716","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldSendFormWithDateCardFiveYearsLaterThanCurrent","BT-30. Отправка формы со сроком действия карты позже текущей даты на 5 лет",""
"passed","Sun Apr 10 23:26:57 MSK 2022","Sun Apr 10 23:26:58 MSK 2022","608","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputEnglishSymbolsInYearField","BT-20. Проверка на ввод букв на английском языке в поле 'Год'",""
"passed","Sun Apr 10 23:27:54 MSK 2022","Sun Apr 10 23:27:58 MSK 2022","4408","","ru.netology.web.PaymentByCardTest","","ru.netology.web.PaymentByCardTest","shouldCheckDataOfSuccessfulCardPayment","BT-2. Проверка данных в БД при совершении успешного платежа по карте",""
"passed","Sun Apr 10 23:27:25 MSK 2022","Sun Apr 10 23:27:28 MSK 2022","2973","","ru.netology.web.PaymentByCardTest","","ru.netology.web.PaymentByCardTest","successfulPaymentByCardTest","BT-1. Успешная оплата по карте",""
"passed","Sun Apr 10 23:26:40 MSK 2022","Sun Apr 10 23:26:41 MSK 2022","612","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputSpecialSymbolsInCardNumberField","BT-15. Проверка на ввод спецсимволов в поле 'Номер карты'",""
"passed","Sun Apr 10 23:26:58 MSK 2022","Sun Apr 10 23:26:58 MSK 2022","636","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldSendEmptyForm","BT-28. Отправка пустой формы",""
"passed","Sun Apr 10 23:26:59 MSK 2022","Sun Apr 10 23:26:59 MSK 2022","584","","ru.netology.web.InputValueInFormTest","","ru.netology.web.InputValueInFormTest","shouldInputEnglishSymbolsInCardNumberField","BT-14. Проверка на ввод букв на английском языке в поле 'Номер карты'",""
